name,category,exciter,material,patch_level_db,loudness_db,peak_db,hard_note_peak_db,tail_db,centroid_hz,sustain_db,width_db,modulation_db,pitch_cents,note_vs_strongest_db
Paper Drum,MEMBRANE,strike,membrane,0.89,-26.368,-9.95019,-2.99837,-239.982,259.563,-132.808,-9.83335,4.78596,1.38268,0
Gran Cassa,MEMBRANE,strike,membrane,-2.09,-21.0038,-9.40112,-12.987,-172.737,212.526,-25.1731,-11.2557,1.12974,1.15704,0
Timpani Roll,MEMBRANE,air,membrane,15.51,-21.0026,-9.33952,-6.99412,-81.8108,1853.48,-1.1175,-8.51541,1.97469,0.247037,0
Balloon Tap,MEMBRANE,strike,membrane,0.02,-23.5003,-7.01221,-2.99814,-239.795,320.359,-83.3747,-9.80926,9.64807,0.71787,0
Trampoline,MEMBRANE,strike,membrane,-1.06,-20.9965,-8.54211,-4.94448,-212.527,220.821,-43.9886,-10.2564,2.35215,1.53446,0
Infinite Bow,DRONES,bow,metal,-0.42,-20.9979,-12.4616,-20.045,-50.7392,850.639,-0.0694844,-18.6418,4.06277,0.0349162,0
Black Monolith,DRONES,bow,metal,0.53,-21.0004,-12.7744,-20.0497,-46.7137,695.55,-0.0588478,-17.9483,4.05023,-0.00136335,0
Cathedral Air,DRONES,air,metal,2.87,-21.0037,-11.7032,-23.2397,-28.349,4181.92,0,-20.9633,2.52007,0.270164,0
Tanpura Haze,DRONES,bow,metal,1.3,-21.0015,-12.4236,-19.9264,-57.3498,1116.94,-0.152196,-17.9367,3.39779,0.0299763,0
Shruti Box,DRONES,air,metal,-0.97,-20.9956,-12.9966,-24.2342,-40.4892,2009.24,0,-29.5935,2.77542,0.16032,0
Overtone Singer,DRONES,air,wood,-1.54,-20.9962,-13.2003,-22.2525,-114.145,916.439,-0.0690371,-27.6069,2.68906,0.236202,0
Deep Space Hum,DRONES,bow,metal,2.9,-20.9964,-12.4244,-20.085,-50.767,588.428,-0.0872997,-20.0579,4.68704,-0.0345267,0
Organum,DRONES,air,metal,0.37,-21.0017,-12.9711,-24.2007,-37.3174,2327.94,0,-22.2027,2.79341,0.187572,0
Dark Matter,DRONES,bow,membrane,2.85,-21.0038,-12.9787,-20.8326,-99.9188,262.507,-0.0427626,-22.3817,4.55672,0.080028,0
Solar Drone,DRONES,air,glass,-2.07,-20.9975,-12.7873,-22.9333,-46.5527,4146.83,0,-23.6674,2.83129,0.0068231,0
Carnyx,DRONES,air,metal,0.96,-20.9994,-17.7136,-18.0153,-44.9878,2907.03,0,-25.2688,3.55645,0.0793662,0
Glacier,DRONES,bow,glass,3.74,-21.0033,-13.1014,-20.8823,-56.6387,419.612,-0.21223,-23.9055,5.46755,-0.0359495,0
Earth Hum,DRONES,air,wood,12.73,-20.9963,-9.79486,-13.6217,-70.1284,1537.95,0,-13.0754,1.88211,0.0137409,0
Pipe Drone,DRONES,air,wood,-3.54,-21.0008,-13.7221,-21.4185,-167.076,1264.34,-0.0981014,-30.4379,3.14208,0.0892867,0
Mantra,DRONES,air,membrane,-0.62,-20.999,-13.0326,-21.2504,-93.2834,562.845,0,-24.0038,2.66065,3.21867,0
Electric Hum,DRONES,air,metal,-4.22,-20.9976,-14.5052,-21.1536,-44.0078,2299.52,0,-28.8267,2.99701,0.098343,0
The Void,DRONES,air,glass,16.68,-21.0049,-11.044,-8.49418,-33.4579,1891.57,0,-9.49876,1.94941,-0.0365976,0
Singing Stones,DRONES,bow,glass,5.08,-21.0029,-13.1669,-21.0741,-62.9141,377.182,-0.122021,-28.4693,3.27373,-0.0034948,0
Pythagoras,DRONES,bow,metal,0.27,-21.002,-12.3702,-19.8395,-58.1657,920.831,-0.131609,-24.8994,3.84321,-0.0176295,0
Machine Room,DRONES,air,metal,-2.5,-21.001,-13.44,-22.7943,-39.1471,3108.43,0,-26.2158,2.63916,0.110307,0
Polar Night,DRONES,bow,glass,3.15,-21.0032,-12.8206,-20.2782,-55.4846,316.087,-0.18567,-21.4626,5.55543,-0.0266004,0
Cello Drone,DRONES,bow,wood,2.26,-21.0033,-12.9968,-20.5682,-167.307,426.14,-0.174878,-28.7983,4.01874,-0.00414618,0
Wind Tunnel,DRONES,air,metal,13.1,-21.0031,-9.453,-8.51986,-43.984,6131.49,0,-7.5956,1.8716,-10.7624,0
Bell Drone,DRONES,strike,metal,1.49,-20.9989,-8.86496,-10.35,-28.3692,645.397,-2.32824,-5.33245,0.884589,0.32619,0
Tidal Drone,DRONES,bow,wood,1.78,-20.9976,-11.829,-19.0747,-159.016,448.966,-0.0645722,-17.8405,4.9956,-0.0605334,0
Rust Belt,DRONES,air,metal,-2.22,-21.0029,-13.6753,-21.6802,-45.7738,3114.79,0,-22.622,2.48551,0.101403,0
Crystal Drone,DRONES,bow,glass,0.06,-20.9962,-11.3986,-18.9957,-65.0009,630.779,0,-16.8786,5.76772,-0.0431835,0
Low Orbit,DRONES,air,metal,0.44,-20.9982,-12.4015,-23.4232,-37.3913,3144.23,0,-20.5427,2.81057,0.0368376,0
Harmonic Series,DRONES,bow,wood,0.56,-21.0048,-12.8968,-20.3772,-167.112,486.584,-0.108157,-26.6606,4.85432,0.0096047,0
Ceramic Pulse,PERCUSSION,strike,glass,4.71,-21.0006,-6.44062,-3.34632,-220.929,892.694,-41.416,-6.48676,0.824302,0.0423547,0
Tin Pulse,PERCUSSION,strike,metal,-1.67,-25.9952,-11.3395,-2.9955,-200.537,746.679,-28.3497,-7.31964,2.33111,-0.0969948,0
Log Network,PERCUSSION,strike,wood,2.43,-21.0031,-5.6404,-5.62021,-239.878,258.153,-83.3571,-15.8918,8.81328,0.0725833,0
Kinetic Kit,PERCUSSION,strike,membrane,1.35,-23.117,-8.73632,-3.1264,-239.969,616.688,-131.41,-12.15,9.71002,-1.88295,0
Kick Skin,PERCUSSION,strike,membrane,3.98,-22.1974,-7.79201,-3.35337,-239.985,849.221,-138.46,-21.4697,6.79223,0.485682,0
Snare Crack,PERCUSSION,strike,membrane,1.61,-24.2035,-7.74534,-3.16957,-239.949,832.36,-125.825,-8.6275,4.19864,2.73295,0
Closed Hat,PERCUSSION,strike,metal,-12.91,-34.1355,-17.6479,-2.97851,-237.974,1793.22,-58.5166,-6.5208,5.189,-4.13406,0
Open Hat,PERCUSSION,strike,metal,-8.31,-25.8277,-9.99274,-2.9981,-110.947,2388.08,-22.5456,-3.18961,1.90198,-0.434089,0
Ride Ping,PERCUSSION,strike,metal,-6.48,-26.1386,-10.4937,-3.00096,-121.732,1399.32,-20.6741,-4.30518,1.97824,0.0825167,0
Crash Wash,PERCUSSION,strike,metal,-5.16,-27.552,-10.2261,-2.99898,-176.498,1351.48,-28.6766,-3.3014,4.14978,-5.78814,0
Rim Click,PERCUSSION,strike,wood,-1.79,-30.1369,-8.62868,-2.99536,-239.992,535.29,-135.992,-14.5343,3.16281,7.0575,-5.12864
