test,key,value
presets/factory library is complete and valid,category.PERCUSSION,4
presets/factory library is complete and valid,category.EXPERIMENTAL,4
presets/factory library is complete and valid,missingSpecNames,0
presets/factory library is complete and valid,badIds,0
presets/factory library is complete and valid,outOfRange,0
presets/factory library is complete and valid,badGestures,0
presets/factory library is complete and valid,clampedTunings,0
presets/every factory preset renders cleanly,loudest_db,-18.4489
presets/every factory preset renders cleanly,quietest_db,-27.9245
presets/every factory preset renders cleanly,loudnessSpread_db,9.47552
presets/every factory preset renders cleanly,nonFinite,0
presets/every factory preset renders cleanly,clipped,0
presets/every factory preset renders cleanly,silent,0
presets/every factory preset renders cleanly,dcOffsets,0
presets/every factory preset renders cleanly,closestPairLsd_db,2.03212
state/round trip reproduces the sound exactly,stateBytes,10288
state/round trip reproduces the sound exactly,parameterMismatches,0
state/round trip reproduces the sound exactly,gestureMismatches,0
state/round trip reproduces the sound exactly,renderMaxDiff,0
state/round trip reproduces the sound exactly,renderRms_db,-35.1943
state/legacy and hostile state is handled,legacyCoupling,0.61
random/gentle mutation stays close to the sound,maxNormalisedStep,0.0995
random/gentle mutation stays close to the sound,discreteChanged,0
random/full regeneration is musical and safe,distinctExciters,4
random/full regeneration is musical and safe,distinctMaterials,4
random/full regeneration is musical and safe,quietest_db,-35.7861
random/full regeneration is musical and safe,loudest_db,-21.8162
random/full regeneration is musical and safe,outsideWindows,0
presets/switching presets while notes sound is safe,presetsVisited,94
presets/switching presets while notes sound is safe,peak_db,-6.45388
state/automating every parameter is safe and smooth,parametersAutomated,64
state/automating every parameter is safe and smooth,worstStepRatio,2.96168
state/automating every parameter is safe and smooth,worstPeak_db,-3.28526
realtime/processBlock never allocates,blocksChecked,640
realtime/processBlock never allocates,allocationsInProcessBlock,0
realtime/processBlock never allocates,worstBlock,0
realtime/audio and message threads run concurrently without races,messageThreadOperations,1976
realtime/audio and message threads run concurrently without races,audioBlocks,6935
resonator/fractional delay comparison,linear.maxPitchErrorCents_C1_C6,0.0107334
resonator/fractional delay comparison,linear.maxPitchErrorCents_C7_C8,0.0548828
resonator/fractional delay comparison,linear.gainDb_frac0.5_at_0.25fs,-3.0103
resonator/fractional delay comparison,linear.gainDb_frac0.5_at_0.45fs,-16.1134
resonator/fractional delay comparison,linear.hfDecayRatio_frac0.5_vs_0,0.091194
resonator/fractional delay comparison,linear.sweepSNRdB_3kHz,37.0587
resonator/fractional delay comparison,linear.sweepMaxErrorJump,0.00749305
