time_s,core,A,B,C,D
1.94033,7.71009e-10,6.13979e-10,8.66731e-10,1.43771e-09,6.36093e-09
1.95033,9.77626e-09,4.00594e-10,1.38675e-09,7.2161e-10,9.91403e-09
1.96033,1.69893e-08,4.34301e-10,8.37926e-10,1.65493e-09,2.04751e-10
1.97033,2.79563e-09,5.7541e-10,4.62106e-10,2.88208e-09,5.66832e-10
1.98033,1.35587e-08,9.6305e-10,1.68064e-09,2.11019e-09,4.94879e-10
1.99033,2.26504e-10,1.33245e-10,2.03572e-09,7.36128e-09,6.42219e-10
2.00033,1.91683e-09,7.85264e-11,6.98256e-11,3.65125e-09,1.40274e-10
2.01033,2.93555e-09,2.37346e-09,3.10147e-09,1.08319e-10,1.40566e-08
2.02033,2.44488e-09,1.69654e-09,3.31941e-09,8.74182e-10,2.8841e-09
2.03033,1.82781e-09,9.96209e-11,1.68925e-08,3.43363e-10,5.08019e-10
2.04033,3.5019e-09,1.88446e-10,3.32414e-09,6.1307e-11,5.26139e-10
2.05033,6.37197e-09,3.36395e-10,1.00624e-09,2.16456e-09,1.22162e-09
2.06033,1.91955e-09,2.31123e-10,2.42489e-09,3.7386e-09,2.59562e-09
2.07033,9.37574e-09,1.29916e-09,2.99574e-10,1.29291e-09,5.69436e-10
2.08033,4.21282e-09,7.92669e-10,6.76101e-09,2.82097e-09,8.39331e-10
2.09033,2.10319e-10,1.03748e-09,2.12038e-09,1.70335e-09,3.65911e-10
2.10033,4.78951e-09,1.74434e-09,3.39517e-10,2.48766e-09,1.09494e-09
2.11033,6.84114e-09,1.37892e-10,7.75237e-09,3.24313e-10,3.50384e-10
2.12033,7.91086e-09,7.89386e-10,1.41437e-09,2.80686e-10,1.13528e-09
2.13033,1.54939e-10,1.03807e-09,3.63583e-09,3.27552e-10,2.44681e-09
2.14033,6.03195e-11,1.57428e-10,2.60297e-09,5.56888e-10,1.40205e-10
2.15033,4.3802e-09,1.09032e-09,4.79872e-10,1.9498e-09,3.13811e-10
2.16033,2.37305e-09,6.9313e-10,3.45142e-10,2.00172e-09,1.54583e-09
2.17033,7.09453e-09,7.58218e-11,2.06559e-11,8.63993e-10,3.97716e-10
2.18033,7.76438e-10,1.20245e-09,1.80286e-09,6.47718e-10,1.22069e-10
2.19033,1.93159e-09,1.67962e-09,2.30256e-09,1.50491e-09,1.59181e-09
2.20033,1.81803e-09,1.40298e-09,1.62849e-11,2.69055e-10,1.02936e-09
2.21033,1.72157e-09,5.35092e-10,2.249e-09,6.26575e-10,4.25053e-09
2.22033,9.65411e-10,2.70584e-10,1.05348e-09,5.54826e-11,1.18683e-09
2.23033,3.39057e-10,6.83392e-11,2.61282e-09,7.75296e-10,2.26718e-10
2.24033,1.16555e-09,4.44323e-11,5.81908e-10,2.29675e-10,1.12373e-09
2.25033,1.99888e-09,4.39758e-11,2.73516e-10,8.9977e-10,5.69533e-10
2.26033,5.46904e-10,4.24272e-10,3.41175e-11,1.63269e-09,4.74866e-10
2.27033,2.37218e-09,4.50588e-10,1.28371e-10,7.43116e-10,2.4184e-10
2.28033,2.37738e-09,3.70897e-10,2.52583e-10,1.42152e-09,4.95381e-10
2.29033,7.4779e-10,3.49686e-10,7.53032e-10,1.6237e-10,7.63524e-10
2.30033,2.41579e-10,1.91498e-10,3.72989e-11,1.07629e-11,1.26964e-09
2.31033,3.7263e-10,2.35184e-10,1.8174e-09,5.5213e-12,6.35495e-10
2.32033,4.05748e-09,5.4852e-10,3.22202e-11,2.05523e-10,1.95246e-10
2.33033,4.79161e-12,1.69276e-11,3.45869e-09,3.35595e-10,4.44592e-10
2.34033,1.43983e-10,4.56569e-11,3.96202e-11,3.95793e-10,4.03056e-10
2.35033,3.45006e-10,2.51738e-10,1.20426e-10,3.16244e-10,2.90974e-10
2.36033,5.06905e-09,3.82783e-10,2.19272e-10,9.42773e-10,3.85389e-10
2.37033,8.83598e-11,4.28067e-10,2.69856e-10,5.03736e-10,2.3958e-10
2.38033,1.233e-09,2.981e-10,1.62111e-10,2.65682e-11,9.17319e-10
2.39033,1.50532e-10,1.16149e-10,1.67197e-10,2.54532e-10,1.55445e-11
2.40033,2.77265e-10,2.20913e-10,2.31843e-10,1.33267e-11,5.52021e-10
2.41033,1.44186e-09,3.9882e-11,1.15411e-09,8.87375e-11,1.51425e-10
2.42033,3.34858e-10,1.76356e-12,4.64575e-11,1.07333e-10,9.75424e-10
2.43033,1.18626e-10,7.4666e-11,3.47342e-09,1.00785e-09,3.25043e-10
2.44033,6.07762e-10,2.24334e-10,8.81102e-11,3.80476e-10,4.59504e-11
2.45033,1.09526e-10,6.83695e-11,1.43554e-10,4.52802e-10,2.18175e-10
2.46033,2.46843e-10,4.18535e-11,3.75859e-10,2.5611e-10,4.11958e-11
2.47033,1.08324e-09,8.99978e-11,2.4575e-11,6.25037e-13,2.72312e-10
2.48033,1.02656e-09,3.87033e-12,9.78974e-10,1.86616e-10,1.18773e-10
2.49033,2.23992e-10,3.97554e-11,2.30462e-11,1.26242e-11,5.52367e-11
2.50033,8.85672e-10,2.17006e-10,4.34681e-11,2.93173e-12,7.84007e-10
2.51033,1.67527e-09,4.13367e-11,1.14995e-09,1.92305e-10,8.75392e-11
2.52033,5.14031e-10,1.07921e-11,2.62443e-11,1.63175e-10,9.94812e-11
2.53033,3.54346e-11,3.35979e-11,4.38631e-10,4.92909e-11,6.70043e-11
2.54033,1.29584e-10,2.18271e-10,7.35498e-11,4.38681e-10,1.27147e-10
2.55033,1.96012e-11,9.85237e-11,6.53164e-11,2.62636e-10,4.41693e-10
2.56033,2.39609e-09,3.094e-11,7.26636e-11,4.47927e-10,3.3853e-11
2.57033,9.60617e-10,3.52347e-11,1.24603e-11,9.15333e-13,7.03108e-11
2.58033,6.11413e-10,6.10023e-12,2.18486e-11,4.0412e-11,6.39814e-12
2.59033,2.06981e-10,1.00569e-10,3.26176e-11,3.56018e-11,3.95404e-11
2.60033,8.48738e-11,8.55237e-11,2.07233e-12,2.38703e-10,2.7433e-10
2.61033,1.9817e-10,1.87049e-11,3.85767e-10,1.57101e-10,1.36198e-10
2.62033,8.70172e-11,3.85779e-12,9.73231e-11,5.59052e-11,4.7383e-10
2.63033,3.45835e-11,6.47139e-11,4.62267e-10,1.29546e-10,5.75058e-11
2.64033,3.24409e-10,6.50172e-12,4.53299e-11,9.51986e-11,2.7596e-11
2.65033,8.91411e-10,8.56056e-12,1.06637e-10,3.39741e-10,1.70415e-11
2.66033,3.31754e-12,6.17242e-12,1.58178e-10,9.53766e-11,1.14695e-11
2.67033,2.07034e-10,6.86013e-11,9.49347e-11,1.72482e-11,1.65929e-11
2.68033,1.9279e-10,1.70475e-10,2.6165e-12,2.36828e-11,5.00842e-11
2.69033,6.8679e-11,3.17787e-11,4.38558e-12,3.15308e-11,2.77118e-11
2.70033,4.10441e-11,3.75362e-11,2.29034e-11,2.31776e-11,2.86315e-10
2.71033,6.10049e-10,4.83952e-12,2.55887e-10,2.35137e-10,9.15468e-14
2.72033,3.54479e-10,6.48438e-11,2.0629e-10,1.2464e-10,9.35575e-11
2.73033,2.30691e-11,1.80578e-11,4.14339e-10,9.0276e-11,1.46198e-10
2.74033,6.88101e-12,9.54603e-12,1.4169e-11,1.42187e-10,2.03674e-11
2.75033,1.0742e-12,9.93935e-11,6.15479e-11,1.04238e-11,1.65615e-10
2.76033,8.64801e-10,1.52387e-11,1.56463e-10,3.30876e-11,6.96121e-11
2.77033,1.99987e-11,1.25851e-10,1.57235e-11,7.83642e-12,9.61085e-12
2.78033,2.43035e-11,1.38509e-11,8.90926e-12,3.46582e-11,3.06017e-11
2.79033,1.38815e-10,2.94376e-11,1.66086e-11,1.18117e-11,1.88764e-10
2.80033,2.81352e-10,1.46127e-11,3.05074e-11,9.57262e-11,9.95101e-11
2.81033,1.02252e-10,1.67946e-11,1.88914e-10,6.52726e-11,3.47847e-12
2.82033,4.60269e-11,5.82289e-12,3.88797e-12,8.01489e-11,1.88911e-10
2.83033,4.26774e-11,7.75139e-12,3.94939e-10,1.19633e-10,1.79371e-10
2.84033,4.77804e-11,6.38087e-13,5.16091e-11,1.33225e-11,6.61554e-12
2.85033,9.88787e-11,1.92893e-13,9.54361e-12,2.74989e-11,4.04445e-12
2.86033,5.4634e-11,7.90403e-12,7.92014e-11,1.2056e-13,8.88581e-11
2.87033,3.02765e-11,2.79372e-12,2.97393e-11,8.35072e-12,3.7533e-12
2.88033,1.24217e-10,6.24885e-12,6.39074e-12,3.06194e-12,1.65974e-12
2.89033,9.62345e-11,2.53024e-11,5.03863e-12,1.13946e-10,8.67572e-12
2.90033,1.07103e-10,3.17116e-11,8.48632e-12,2.01169e-11,1.60697e-10
2.91033,2.98151e-10,3.42805e-12,8.00124e-11,4.34483e-11,7.14143e-12
2.92033,7.52985e-12,1.54874e-12,2.25166e-11,3.33407e-11,1.83835e-12
2.93033,6.84771e-11,5.97506e-11,7.2957e-11,1.55238e-11,2.64583e-11
2.94033,6.49873e-11,1.90215e-12,3.20626e-13,5.29193e-11,9.11899e-12
2.95033,9.81829e-12,8.67529e-12,5.06872e-12,5.54551e-12,4.01686e-11
2.96033,4.28606e-10,8.07962e-12,4.20135e-11,5.67808e-13,2.55317e-11
2.97033,5.87057e-11,6.92775e-12,7.63424e-11,1.17795e-11,1.22638e-11
2.98033,1.73673e-11,1.22277e-12,3.39901e-11,1.70641e-11,5.65593e-12
2.99033,6.72357e-12,2.59005e-12,5.99959e-12,1.13862e-11,8.85054e-12
